feature_noise,parameter_noise,runtime_noise,seed,selector,avg_runtime,avg_regret,accuracy
0.05,0.01,0.0,0,Oracle,1.7336530808093307,0.0,1.0
0.05,0.01,0.0,0,Global Best,2.366567997613895,0.632914916804564,1.0
0.05,0.01,0.0,0,Random,3.14281115976656,1.4091580789572293,0.10277777777777777
0.05,0.01,0.0,0,Cluster ISAC,1.7344782632022562,0.0008251823929251371,0.55
0.05,0.01,0.0,0,DGCAC-inspired,1.7348976680119088,0.0012445872025781926,0.4861111111111111
0.05,0.01,0.0,0,Privileged Classifier,1.7348024202718595,0.0011493394625286233,0.5305555555555556
0.05,0.01,0.0,0,Regressor,1.7347153053452347,0.0010622245359039612,0.5416666666666666
0.05,0.01,0.0,0,MLP Selector,1.734810031561658,0.0011569507523271337,0.475
0.05,0.01,0.0,1,Oracle,1.9590848571006407,0.0,1.0
0.05,0.01,0.0,1,Global Best,2.5985465577091937,0.6394617006085531,1.0
0.05,0.01,0.0,1,Random,3.28342644491832,1.3243415878176796,0.08888888888888889
0.05,0.01,0.0,1,Cluster ISAC,1.959929219053227,0.000844361952586114,0.5138888888888888
0.05,0.01,0.0,1,DGCAC-inspired,1.9605754840548097,0.0014906269541691392,0.44722222222222224
0.05,0.01,0.0,1,Privileged Classifier,1.960426380610184,0.0013415235095433538,0.46944444444444444
0.05,0.01,0.0,1,Regressor,1.9601619900803777,0.0010771329797370172,0.5055555555555555
0.05,0.01,0.0,1,MLP Selector,1.9600387007523612,0.0009538436517201789,0.5222222222222223
0.05,0.01,0.0,2,Oracle,1.7712391078415446,0.0,1.0
0.05,0.01,0.0,2,Global Best,2.3867788154626606,0.6155397076211159,1.0
0.05,0.01,0.0,2,Random,3.0055327851851636,1.234293677343619,0.08055555555555556
0.05,0.01,0.0,2,Cluster ISAC,1.7721455840752247,0.0009064762336799408,0.4888888888888889
0.05,0.01,0.0,2,DGCAC-inspired,1.7726520070511058,0.001412899209560886,0.44722222222222224
0.05,0.01,0.0,2,Privileged Classifier,1.772476400545764,0.0012372927042193585,0.48333333333333334
0.05,0.01,0.0,2,Regressor,1.7723220347923874,0.001082926950842865,0.5166666666666667
0.05,0.01,0.0,2,MLP Selector,1.7721831355936963,0.0009440277521518733,0.5444444444444444
0.05,0.01,0.0,3,Oracle,1.7415437125816489,0.0,1.0
0.05,0.01,0.0,3,Global Best,2.370765326053918,0.6292216134722696,1.0
0.05,0.01,0.0,3,Random,3.113566524189773,1.372022811608124,0.1
0.05,0.01,0.0,3,Cluster ISAC,1.742292096309682,0.0007483837280330517,0.5444444444444444
0.05,0.01,0.0,3,DGCAC-inspired,1.742649029301963,0.0011053167203143464,0.5222222222222223
0.05,0.01,0.0,3,Privileged Classifier,1.7426841563104278,0.0011404437287788418,0.525
0.05,0.01,0.0,3,Regressor,1.7424926653207369,0.0009489527390881152,0.5527777777777778
0.05,0.01,0.0,3,MLP Selector,1.7425248173304961,0.0009811047488476265,0.5083333333333333
0.05,0.01,0.0,4,Oracle,1.9420530496956152,0.0,1.0
0.05,0.01,0.0,4,Global Best,2.600431432646526,0.6583783829509116,1.0
0.05,0.01,0.0,4,Random,3.2759520566458895,1.3338990069502747,0.058333333333333334
0.05,0.01,0.0,4,Cluster ISAC,1.9428699832144904,0.0008169335188755369,0.33055555555555555
0.05,0.01,0.0,4,DGCAC-inspired,1.943443228443659,0.001390178748044023,0.3055555555555556
0.05,0.01,0.0,4,Privileged Classifier,1.943516680276887,0.001463630581272285,0.2638888888888889
0.05,0.01,0.0,4,Regressor,1.9432908173824823,0.0012377676868671552,0.2777777777777778
0.05,0.01,0.0,4,MLP Selector,1.9432258767689325,0.0011728270733176707,0.2722222222222222
0.05,0.01,0.0,5,Oracle,1.8906429280039787,0.0,1.0
0.05,0.01,0.0,5,Global Best,2.5745273051998288,0.6838843771958496,1.0
0.05,0.01,0.0,5,Random,3.1627308025636713,1.2720878745596924,0.09444444444444444
0.05,0.01,0.0,5,Cluster ISAC,1.8915120453158156,0.0008691173118367072,0.3388888888888889
0.05,0.01,0.0,5,DGCAC-inspired,1.8920209843430302,0.0013780563390512405,0.22777777777777777
0.05,0.01,0.0,5,Privileged Classifier,1.8919804350545528,0.0013375070505738963,0.2972222222222222
0.05,0.01,0.0,5,Regressor,1.8919404101281252,0.0012974821241463783,0.275
0.05,0.01,0.0,5,MLP Selector,1.8918412635333741,0.0011983355293952694,0.26666666666666666
0.05,0.01,0.0,6,Oracle,1.8655610985265698,0.0,1.0
0.05,0.01,0.0,6,Global Best,2.4558867879035597,0.5903256893769897,1.0
0.05,0.01,0.0,6,Random,3.1215212555317495,1.2559601570051802,0.10277777777777777
0.05,0.01,0.0,6,Cluster ISAC,1.866436210952097,0.0008751124255270248,0.3138888888888889
0.05,0.01,0.0,6,DGCAC-inspired,1.866807478734458,0.0012463802078879155,0.35833333333333334
0.05,0.01,0.0,6,Privileged Classifier,1.866825950229057,0.0012648517024869336,0.38333333333333336
0.05,0.01,0.0,6,Regressor,1.8666419707115327,0.00108087218496285,0.37222222222222223
0.05,0.01,0.0,6,MLP Selector,1.866537230420408,0.0009761318938381898,0.40555555555555556
0.05,0.01,0.0,7,Oracle,1.9308567166982868,0.0,1.0
0.05,0.01,0.0,7,Global Best,2.5441861662251886,0.6133294495269017,1.0
0.05,0.01,0.0,7,Random,3.1005822171744386,1.169725500476152,0.1111111111111111
0.05,0.01,0.0,7,Cluster ISAC,1.9316489055151127,0.0007921888168256532,0.325
0.05,0.01,0.0,7,DGCAC-inspired,1.931999713180788,0.0011429964825008842,0.31666666666666665
0.05,0.01,0.0,7,Privileged Classifier,1.9321933727027076,0.0013366560044206944,0.2861111111111111
0.05,0.01,0.0,7,Regressor,1.93199735602989,0.0011406393316027866,0.2972222222222222
0.05,0.01,0.0,7,MLP Selector,1.9318373879803816,0.0009806712820944795,0.34444444444444444
0.05,0.01,0.01,0,Oracle,1.7336530808093307,0.0,1.0
0.05,0.01,0.01,0,Global Best,2.366567997613895,0.632914916804564,1.0
0.05,0.01,0.01,0,Random,3.14281115976656,1.4091580789572293,0.10277777777777777
0.05,0.01,0.01,0,Cluster ISAC,1.7344782632022562,0.0008251823929251371,0.55
0.05,0.01,0.01,0,DGCAC-inspired,1.7348976680119088,0.0012445872025781926,0.4861111111111111
0.05,0.01,0.01,0,Privileged Classifier,1.7348024202718595,0.0011493394625286233,0.5305555555555556
0.05,0.01,0.01,0,Regressor,1.7347153053452347,0.0010622245359039612,0.5416666666666666
0.05,0.01,0.01,0,MLP Selector,1.734810031561658,0.0011569507523271337,0.475
0.05,0.01,0.01,1,Oracle,1.9590848571006407,0.0,1.0
0.05,0.01,0.01,1,Global Best,2.5985465577091937,0.6394617006085531,1.0
0.05,0.01,0.01,1,Random,3.28342644491832,1.3243415878176796,0.08888888888888889
0.05,0.01,0.01,1,Cluster ISAC,1.959929219053227,0.000844361952586114,0.5138888888888888
0.05,0.01,0.01,1,DGCAC-inspired,1.9605754840548097,0.0014906269541691392,0.44722222222222224
0.05,0.01,0.01,1,Privileged Classifier,1.960426380610184,0.0013415235095433538,0.46944444444444444
0.05,0.01,0.01,1,Regressor,1.9601619900803777,0.0010771329797370172,0.5055555555555555
0.05,0.01,0.01,1,MLP Selector,1.9600387007523612,0.0009538436517201789,0.5222222222222223
0.05,0.01,0.01,2,Oracle,1.7712391078415446,0.0,1.0
0.05,0.01,0.01,2,Global Best,2.3867788154626606,0.6155397076211159,1.0
0.05,0.01,0.01,2,Random,3.0055327851851636,1.234293677343619,0.08055555555555556
0.05,0.01,0.01,2,Cluster ISAC,1.7721455840752247,0.0009064762336799408,0.4888888888888889
0.05,0.01,0.01,2,DGCAC-inspired,1.7726520070511058,0.001412899209560886,0.44722222222222224
0.05,0.01,0.01,2,Privileged Classifier,1.772476400545764,0.0012372927042193585,0.48333333333333334
