selector,portfolio_source,portfolio_size,avg_loss,avg_regret
Privileged Classifier,smac,7,0.03917648849873115,0.01944365203806669
Regressor,smac,8,0.035256154245627905,0.013625248030852428
MLP Selector,smac,8,0.025414142241713605,0.008051014117429965
DGCAC-inspired,smac,2,0.029483708289803276,0.0052090422367756725
Cluster ISAC,smac,8,0.03023196421574649,0.005774682080395453
Temporal Soft Cluster ISAC,smac,8,0.027777357711851688,0.00764969481783504
