seed,episodes,selector,avg_total_penalty,avg_regret,avg_switch_cost
0,20,Oracle,0.0,0.0,0.0
0,20,Global Best,0.08764163374935298,0.08764163374935298,0.0
0,20,Random,0.39340810322253905,0.3595331032225392,0.03387499999999983
0,20,Cluster ISAC,0.08404125074619447,0.07291625074619446,0.011125000000000006
0,20,DGCAC-inspired,0.09163694381799771,0.0851369438179977,0.006500000000000003
0,20,Privileged Classifier,0.10976723532867058,0.09626723532867058,0.013500000000000009
0,20,Regressor,0.07436849590999499,0.06249349590999498,0.011875000000000007
0,20,MLP Selector,0.0922363463167836,0.07886134631678357,0.013375000000000008
0,20,Temporal MoE,0.19828062096323934,0.17303062096323935,0.025250000000000012
0,20,Temporal Soft Cluster ISAC,0.10499017906297752,0.09586517906297752,0.009125000000000005
0,40,Oracle,0.0,0.0,0.0
0,40,Global Best,0.08211564906658796,0.08211564906658796,0.0
0,40,Random,0.3455886280106406,0.31090112801064107,0.03468749999999954
0,40,Cluster ISAC,0.06998234569283243,0.05735734569283243,0.012625000000000006
0,40,DGCAC-inspired,0.0701746735236485,0.0644246735236485,0.005750000000000003
0,40,Privileged Classifier,0.09347136206582973,0.08122136206582972,0.01225000000000001
0,40,Regressor,0.0754945178908986,0.0633070178908986,0.012187500000000009
0,40,MLP Selector,0.07847958612244939,0.06372958612244942,0.014749999999999961
0,40,Temporal MoE,0.16715790517152743,0.1420954051715277,0.025062499999999745
0,40,Temporal Soft Cluster ISAC,0.06493732655351034,0.05824982655351034,0.006687500000000004
0,80,Oracle,0.0,0.0,0.0
0,80,Global Best,0.08988034826214064,0.08988034826214064,0.0
0,80,Random,0.3741248110877517,0.33993731108775227,0.03418749999999941
0,80,Cluster ISAC,0.0726674822678866,0.059292482267886734,0.013374999999999854
0,80,DGCAC-inspired,0.07486875691607255,0.06665000691607258,0.008218749999999962
0,80,Privileged Classifier,0.09318962012854308,0.07881462012854326,0.014374999999999832
0,80,Regressor,0.08151660531384478,0.06686035531384496,0.014656249999999826
0,80,MLP Selector,0.07686469535036791,0.061552195350368086,0.015312499999999812
0,80,Temporal MoE,0.1774196244428093,0.15360712444280963,0.023812499999999633
0,80,Temporal Soft Cluster ISAC,0.06913486793064355,0.06204111793064356,0.007093749999999986
0,120,Oracle,0.0,0.0,0.0
0,120,Global Best,0.09074580382235692,0.09074580382235692,0.0
0,120,Random,0.3888831367465683,0.3541123034132354,0.03477083333333294
0,120,Cluster ISAC,0.075214405946951,0.06188107261361785,0.013333333333333142
0,120,DGCAC-inspired,0.08503546498850063,0.07868129832183403,0.006354166666666623
0,120,Privileged Classifier,0.0972418631294744,0.08351269646280793,0.013729166666666466
0,120,Regressor,0.0848991363462261,0.06921163634622635,0.015687499999999757
0,120,MLP Selector,0.08398563250173913,0.06911063250173935,0.014874999999999776
0,120,Temporal MoE,0.18355014562604174,0.16240431229270874,0.021145833333332975
0,120,Temporal Soft Cluster ISAC,0.07302953218679047,0.06684203218679051,0.0061874999999999595
0,160,Oracle,0.0,0.0,0.0
0,160,Global Best,0.09107737902509713,0.09107737902509713,0.0
0,160,Random,0.3107418955517481,0.2766481455517471,0.03409375000000096
0,160,Cluster ISAC,0.07353838304721258,0.06025713304721279,0.013281249999999786
0,160,DGCAC-inspired,0.07662375022316292,0.07009250022316299,0.00653124999999993
0,160,Privileged Classifier,0.09053667881059202,0.07636480381059225,0.014171874999999768
0,160,Regressor,0.08021125147353542,0.06464875147353569,0.015562499999999738
0,160,MLP Selector,0.08160684537571491,0.06823184537571512,0.013374999999999785
0,160,Temporal MoE,0.18168350960906304,0.1615585096090634,0.02012499999999964
0,160,Temporal Soft Cluster ISAC,0.07138404202570797,0.06471216702570805,0.006671874999999927
0,200,Oracle,0.0,0.0,0.0
0,200,Global Best,0.08896263948729267,0.08896263948729267,0.0
0,200,Random,0.3457258782196757,0.31127587821967384,0.03445000000000189
0,200,Cluster ISAC,0.07127867314439358,0.05766617314439381,0.013612499999999765
0,200,DGCAC-inspired,0.07294977504325512,0.06626227504325521,0.006687499999999913
0,200,Privileged Classifier,0.09229767258196706,0.07781017258196732,0.014487499999999747
0,200,Regressor,0.07767751257986338,0.0645900125798636,0.013087499999999776
0,200,MLP Selector,0.07349964230316991,0.05963714230317014,0.01386249999999976
0,200,Temporal MoE,0.18139805871433853,0.1599855587143387,0.02141249999999985
0,200,Temporal Soft Cluster ISAC,0.07288077028038849,0.06590577028038858,0.006974999999999907
1,20,Oracle,0.0,0.0,0.0
1,20,Global Best,0.08541099127746721,0.08541099127746721,0.0
1,20,Random,0.28941236552591054,0.2545373655259108,0.03487499999999981
1,20,Cluster ISAC,0.0829813833682879,0.0688563833682879,0.014125000000000009
1,20,DGCAC-inspired,0.09376295676418088,0.08926295676418088,0.004500000000000002
1,20,Privileged Classifier,0.08990222529809448,0.07752722529809448,0.012375000000000008
1,20,Regressor,0.07979674252228557,0.06692174252228555,0.012875000000000008
1,20,MLP Selector,0.08129609467259977,0.06879609467259976,0.012500000000000008
1,20,Temporal MoE,0.1717553862666278,0.1465053862666278,0.025250000000000012
1,20,Temporal Soft Cluster ISAC,0.08510406109975825,0.07672906109975826,0.008375000000000004
1,40,Oracle,0.0,0.0,0.0
1,40,Global Best,0.09074756181110058,0.09074756181110058,0.0
1,40,Random,0.3280217272659686,0.2932092272659691,0.03481249999999954
1,40,Cluster ISAC,0.07353030295238938,0.06109280295238937,0.01243750000000001
1,40,DGCAC-inspired,0.06854669907036302,0.061921699070363025,0.006625000000000004
1,40,Privileged Classifier,0.08394229765368029,0.07081729765368029,0.013124999999999994
1,40,Regressor,0.0715431420643668,0.05904314206436678,0.012500000000000008
1,40,MLP Selector,0.07206940721341236,0.06006940721341235,0.012000000000000009
1,40,Temporal MoE,0.16576593774523823,0.14220343774523847,0.02356249999999977
1,40,Temporal Soft Cluster ISAC,0.07883498003747581,0.0718974800374758,0.006937500000000004
1,80,Oracle,0.0,0.0,0.0
1,80,Global Best,0.0894828608714086,0.0894828608714086,0.0
1,80,Random,0.31004374426431697,0.2758249942643175,0.03421874999999941
1,80,Cluster ISAC,0.07421682749275381,0.061060577492753954,0.013156249999999859
1,80,DGCAC-inspired,0.07461569647206048,0.06858444647206048,0.0060312500000000045
1,80,Privileged Classifier,0.0969497761054294,0.08423102610542953,0.012718749999999867
1,80,Regressor,0.07597514816157802,0.06316264816157816,0.012812499999999866
1,80,MLP Selector,0.07951663489818232,0.06679788489818246,0.012718749999999867
1,80,Temporal MoE,0.1716164544257653,0.14964770442576564,0.02196874999999967
1,80,Temporal Soft Cluster ISAC,0.06661294918026076,0.05948794918026078,0.0071249999999999855
1,120,Oracle,0.0,0.0,0.0
1,120,Global Best,0.08669292291848896,0.08669292291848896,0.0
1,120,Random,0.4000236272505991,0.3653986272505995,0.03462499999999958
1,120,Cluster ISAC,0.07427597278212096,0.061505139448787806,0.012770833333333153
1,120,DGCAC-inspired,0.07141397235543817,0.0647056390221049,0.006708333333333282
1,120,Privileged Classifier,0.08870399968059857,0.07582899968059875,0.012874999999999819
1,120,Regressor,0.07533992981600664,0.06331909648267348,0.01202083333333317
